id,scheduler,arrival_time,duration,start_time,finish_time,jct
0,#PID<0.164.0>,502,100,552,653,151
12,#PID<0.164.0>,755,500,822,1334,579
13,#PID<0.164.0>,856,500,1385,1892,1036
1,#PID<0.164.0>,1012,100,1927,2028,1016
2,#PID<0.164.0>,1519,100,2031,2141,622
3,#PID<0.164.0>,2020,100,2151,2257,237
18,#PID<0.164.0>,1395,500,2266,2768,1373
19,#PID<0.164.0>,1496,500,2824,3325,1829
4,#PID<0.164.0>,2523,100,3425,3529,1006
6,#PID<0.164.0>,3532,100,3539,3651,119
7,#PID<0.164.0>,4091,100,4154,4256,165
8,#PID<0.164.0>,4601,100,4655,4761,160
9,#PID<0.164.0>,5113,100,5134,5235,122
10,#PID<0.165.0>,502,500,552,1054,552
11,#PID<0.165.0>,617,500,1102,1613,996
14,#PID<0.165.0>,974,500,1665,2171,1197
15,#PID<0.165.0>,1080,500,2215,2716,1636
16,#PID<0.165.0>,1191,500,2768,3281,2090
17,#PID<0.165.0>,1294,500,3307,3847,2553
5,#PID<0.165.0>,3031,100,3899,4091,1060
